# Catalog of 6,669 unique galaxies from SDSS Data Release 1
# In addition, galaxies are selected by the following conditions:
#    12 < rPetrosian < 17.77 
#  0.01 <  redshift  < 0.30
#    good imaging magnitudes,
#  212 < RA < 228 and -1 < Dec < 4
# The listed parameters are:
# RA/Dec: equatorial position in decimal deg.
# redshift, determined from SDSS spectrum
# DM: distance module for WMAP cosmology (magnitudes)
# absolute magnitude Mr = r - DM
# u and r: model magnitude, u-r=2.22 is a good separator
#          of spiral and elliptical galaxies (see Strateva et al. 2001)
#
#    RA         Dec  redshift   DM     u      r  
 226.04779    1.88919  0.133  38.95  19.08  17.12 
 226.29778    1.98829  0.120  38.72  19.45  17.11 
 226.36975    2.04146  0.120  38.72  18.67  17.55 
 226.49997    1.89788  0.182  39.71  20.42  17.49 
 226.93895    2.04129  0.034  35.83  18.13  15.66 
 226.88548    1.91605  0.043  36.36  17.53  15.46 
 227.04459    1.94976  0.076  37.65  18.49  16.68 
 227.05486    2.04074  0.113  38.58  19.24  16.39 
 227.06834    2.02070  0.114  38.59  19.90  17.21 
 227.33505    1.86838  0.113  38.58  20.15  17.47 
 227.42947    2.02452  0.099  38.28  18.46  15.78 
 227.55225    1.87618  0.060  37.12  18.07  16.84 
 227.49950    1.94290  0.092  38.10  19.90  17.13 
 227.53018    2.01461  0.148  39.21  18.93  17.24 
 227.55319    2.01926  0.088  38.00  18.99  17.21 
 227.57697    1.99633  0.060  37.11  18.57  16.99 
 227.65073    2.01651  0.092  38.10  19.02  16.05 
 227.63773    1.98923  0.172  39.57  19.67  16.73 
 227.70015    2.01759  0.092  38.09  20.06  17.39 
 227.76518    1.89367  0.088  38.00  18.92  16.74 
 227.72882    1.90891  0.039  36.18  17.52  16.01 
 227.78922    1.86927  0.131  38.92  19.25  16.34 
 227.88632    1.97578  0.088  37.99  19.36  17.26 
 212.03287    2.64878  0.174  39.60  20.12  17.14 
 212.01518    2.85672  0.173  39.59  20.04  17.27 
 212.08398    2.66373  0.041  36.26  19.11  16.49 
 212.17346    2.71434  0.147  39.19  19.70  17.02 
 212.08664    2.83952  0.139  39.06  18.79  17.25 
 212.31448    2.77693  0.077  37.68  18.73  17.02 
 212.39464    2.69782  0.181  39.69  20.36  17.29 
 212.59586    2.78392  0.120  38.71  18.84  16.94 
 212.60513    2.79036  0.173  39.59  18.96  17.08 
 212.62546    2.67513  0.181  39.70  19.95  17.38 
 212.77461    2.68341  0.098  38.25  19.29  16.64 
 212.73534    2.68934  0.156  39.33  20.19  17.24 
 212.69064    2.83286  0.166  39.49  20.56  17.39 
 212.69237    2.82303  0.167  39.50  20.11  17.38 
 212.71146    2.77751  0.053  36.82  18.65  17.28 
 212.81714    2.82915  0.120  38.72  20.19  17.44 
 212.92383    2.64074  0.131  38.92  19.10  16.30 
 212.81631    2.83433  0.131  38.92  19.74  17.14 
 213.03560    2.67094  0.099  38.26  19.56  16.60 
 213.04128    2.65207  0.099  38.26  19.94  17.22 
 213.11522    2.79417  0.167  39.50  19.83  16.53 
 213.20540    2.70023  0.069  37.44  19.31  17.66 
 213.29526    2.76396  0.131  38.92  19.04  16.69 
 213.40823    2.74527  0.149  39.23  20.65  17.26 
 213.46486    2.70042  0.167  39.51  20.11  17.18 
 213.53319    2.82000  0.149  39.23  18.77  16.23 
 213.44370    2.61950  0.026  35.21  18.31  16.90 
 213.55975    2.75878  0.035  35.92  17.51  16.04 
 213.57405    2.80861  0.101  38.31  19.45  16.99 
 213.65257    2.71126  0.069  37.45  17.76  16.32 
 213.66832    2.77524  0.169  39.53  19.54  16.44 
 213.60706    2.76220  0.073  37.57  19.26  17.31 
 213.70261    2.69543  0.130  38.91  19.09  16.17 
 213.78827    2.66513  0.169  39.52  19.83  16.84 
 213.86061    2.62724  0.168  39.52  20.18  16.99 
 213.85889    2.78197  0.075  37.64  20.08  17.51 
 213.91406    2.61208  0.080  37.79  19.18  16.36 
 213.99507    2.71028  0.076  37.65  17.38  15.36 
 213.92844    2.78045  0.076  37.66  19.41  17.15 
 213.89102    2.67485  0.214  40.11  20.70  17.23 
 214.07341    2.67281  0.085  37.91  18.93  17.22 
 214.31381    2.76786  0.131  38.93  19.57  16.92 
 214.32503    2.80900  0.039  36.16  18.73  17.15 
 214.54427    2.74704  0.078  37.71  18.05  15.31 
 214.45744    2.62448  0.103  38.35  18.86  16.80 
 214.64781    2.68112  0.054  36.90  17.88  15.47 
 214.66800    2.74251  0.151  39.25  19.64  17.06 
 214.61194    2.74308  0.078  37.71  20.09  17.52 
 214.89075    2.72925  0.108  38.46  19.81  16.96 
 214.89032    2.72274  0.107  38.45  18.42  17.26 
 214.92352    2.59976  0.108  38.46  18.55  16.16 
 214.95073    2.79066  0.108  38.46  19.38  17.03 
 215.02710    2.67038  0.090  38.04  18.70  16.78 
 215.07448    2.75355  0.232  40.31  21.46  17.52 
 215.12523    2.77231  0.090  38.05  19.54  16.73 
 215.09656    2.72700  0.090  38.05  18.07  16.96 
 215.13177    2.73456  0.106  38.43  20.46  17.58 
 215.29878    2.73505  0.065  37.29  18.70  16.35 
 215.35582    2.62135  0.097  38.21  19.18  17.52 
 215.52902    2.67901  0.182  39.70  20.64  17.35 
 215.88661    2.60118  0.075  37.63  20.20  17.43 
 215.94591    2.72968  0.050  36.69  18.90  17.23 
 215.89116    2.64036  0.283  40.79  20.56  17.24 
 215.99402    2.72346  0.053  36.84  19.02  16.61 
 216.00098    2.70834  0.052  36.80  19.23  16.62 
 216.01137    2.59799  0.056  36.95  19.40  16.78 
 216.05247    2.74762  0.056  36.97  18.84  16.15 
 216.08070    2.70869  0.055  36.92  18.87  17.26 
 216.22450    2.74977  0.057  37.00  19.33  16.14 
 216.15112    2.74513  0.054  36.89  17.18  14.35 
 216.19756    2.66442  0.054  36.86  16.73  13.97 
 216.15633    2.76601  0.056  36.96  19.97  17.54 
 216.10019    2.60605  0.165  39.48  19.09  17.16 
 216.15408    2.66003  0.155  39.32  20.94  17.17 
 216.19489    2.75190  0.052  36.80  19.21  17.46 
 216.26920    2.62464  0.053  36.82  19.47  16.85 
 216.48256    2.74577  0.165  39.47  19.87  16.88 
 216.51347    2.74495  0.026  35.22  17.72  16.34 
 216.62955    2.67123  0.070  37.48  19.33  17.45 
 216.63379    2.75167  0.039  36.18  16.59  14.38 
 216.55521    2.74155  0.026  35.22  17.90  16.55 
 217.04796    2.74701  0.087  37.96  18.05  15.24 
 217.08641    2.70222  0.090  38.05  19.75  17.04 
 217.19098    2.57792  0.087  37.98  18.59  16.62 
 217.26172    2.53703  0.087  37.96  19.12  17.23 
 217.31390    2.64065  0.091  38.06  18.83  17.17 
 217.55794    2.73071  0.138  39.05  20.15  16.96 
 217.56963    2.58058  0.145  39.17  20.08  17.61 
 217.51088    2.65988  0.203  39.97  19.66  17.28 
 217.62819    2.55743  0.119  38.69  20.28  17.27 
 217.67426    2.55315  0.139  39.06  20.34  17.45 
 217.69756    2.59848  0.138  39.04  19.37  16.97 
 217.73457    2.57105  0.139  39.06  19.22  16.24 
 217.68810    2.54038  0.138  39.04  20.10  17.23 
 217.61839    2.60475  0.217  40.13  20.76  17.78 
 217.87540    2.59083  0.096  38.21  18.79  17.01 
 217.75412    2.56276  0.138  39.05  19.48  17.02 
 218.01340    2.52544  0.112  38.56  20.40  17.30 
 217.99384    2.53641  0.086  37.94  20.33  17.69 
 218.06061    2.54128  0.112  38.56  18.57  16.34 
 218.26083    2.71670  0.029  35.50  18.09  16.45 
 218.30978    2.65267  0.029  35.51  16.67  13.94 
 218.32646    2.70141  0.028  35.42  16.83  15.42 
 218.28964    2.51556  0.167  39.50  20.07  17.05 
 218.39867    2.63871  0.028  35.44  17.00  14.41 
 218.58887    2.66143  0.156  39.34  20.72  17.33 
 218.53168    2.71143  0.113  38.57  19.37  17.32 
 218.57869    2.66936  0.154  39.31  19.95  17.29 
 218.74147    2.62794  0.058  37.05  18.19  15.96 
 218.76302    2.57925  0.038  36.10  19.45  17.12 
 218.75537    2.52543  0.058  37.04  18.73  17.35 
 218.82698    2.63014  0.058  37.05  18.47  16.24 
 218.85396    2.56676  0.099  38.26  19.13  16.74 
 219.00691    2.49281  0.065  37.31  18.17  16.39 
 219.03635    2.62860  0.099  38.26  19.36  16.91 
 219.33218    2.65887  0.132  38.95  19.61  17.53 
 219.58659    2.55316  0.145  39.16  20.20  17.40 
 219.60533    2.57793  0.153  39.29  19.62  17.19 
 219.62173    2.48517  0.192  39.84  20.05  16.93 
 219.74069    2.61031  0.129  38.88  19.62  17.04 
 219.89413    2.65098  0.024  35.04  18.06  16.58 
 220.07648    2.55649  0.118  38.68  17.89  16.13 
 220.12387    2.50286  0.027  35.36  17.87  15.34 
 220.19455    2.58104  0.128  38.88  19.59  17.26 
 220.48044    2.50086  0.188  39.79  19.72  17.27 
 220.51474    2.51911  0.134  38.97  19.74  16.95 
 220.52022    2.56383  0.157  39.36  19.45  17.01 
 220.73369    2.50419  0.134  38.98  18.86  16.46 
 220.66643    2.53152  0.197  39.90  20.56  17.48 
 220.86768    2.55849  0.135  38.99  19.68  16.77 
 220.84570    2.61732  0.135  38.99  19.88  17.51 
 220.89259    2.46047  0.140  39.08  19.29  16.99 
 221.03981    2.53534  0.196  39.88  20.53  17.28 
 221.01207    2.58280  0.134  38.98  19.38  17.06 
 221.03755    2.57078  0.117  38.65  19.48  17.45 
 221.06502    2.57477  0.080  37.76  19.25  16.50 
 221.05579    2.61084  0.142  39.12  20.18  17.31 
 221.07196    2.55896  0.173  39.59  19.52  17.49 
 221.31134    2.62894  0.133  38.96  19.44  16.53 
 221.35892    2.50051  0.074  37.59  17.90  16.34 
 221.39587    2.63220  0.119  38.70  19.84  16.99 
 221.36150    2.56172  0.139  39.06  19.40  17.58 
 221.66641    2.61508  0.164  39.46  19.29  17.08 
 221.86078    2.52107  0.079  37.75  19.69  17.07 
 221.96912    2.56808  0.122  38.75  18.65  16.29 
 222.10925    2.53781  0.064  37.26  18.85  16.04 
 222.11392    2.50869  0.063  37.23  19.12  16.93 
 222.09924    2.58997  0.084  37.88  19.95  17.56 
 222.30977    2.52384  0.121  38.74  19.64  16.67 
 222.26068    2.43643  0.034  35.87  16.65  14.51 
 222.28162    2.43847  0.145  39.16  20.32  17.27 
 222.30489    2.58640  0.125  38.81  20.47  17.64 
 222.33205    2.58208  0.122  38.76  19.22  17.08 
 222.53651    2.54474  0.045  36.49  18.52  17.18 
 222.58368    2.54497  0.045  36.47  17.93  16.01 
 222.69101    2.58570  0.123  38.78  18.93  16.93 
 222.89108    2.44962  0.097  38.22  19.12  17.03 
 222.94781    2.52552  0.034  35.86  17.25  15.45 
 222.86794    2.50255  0.131  38.93  19.35  16.60 
 223.08418    2.39783  0.113  38.57  19.21  16.46 
 223.17606    2.51099  0.141  39.10  18.81  16.47 
 223.15536    2.49349  0.139  39.06  20.96  17.41 
 223.34058    2.47315  0.113  38.58  18.63  16.07 
 223.59377    2.40640  0.027  35.35  17.08  15.37 
 223.71384    2.40067  0.034  35.85  17.52  16.10 
 223.80608    2.38350  0.027  35.29  19.00  17.33 
 223.87309    2.46516  0.027  35.31  17.10  15.49 
 224.32355    2.53404  0.149  39.22  20.59  17.42 
 224.20607    2.42083  0.151  39.26  20.26  17.26 
 224.34439    2.54901  0.152  39.28  20.24  16.81 
 224.52835    2.43842  0.044  36.41  17.30  14.86 
 224.57942    2.47773  0.044  36.40  18.25  15.52 
 224.59015    2.54693  0.028  35.40  16.75  15.28 
 224.59679    2.53846  0.028  35.41  17.44  15.29 
 224.64651    2.49139  0.085  37.91  18.35  16.95 
 224.97820    2.37562  0.120  38.72  19.89  17.05 
 225.09015    2.41145  0.135  39.00  19.03  16.96 
 225.21490    2.42003  0.035  35.94  18.03  16.66 
 225.35228    2.46631  0.035  35.92  18.87  16.44 
 225.40379    2.44701  0.043  36.34  17.30  15.85 
 225.52756    2.41543  0.081  37.79  18.52  16.10 
 225.61913    2.34972  0.121  38.73  20.06  17.36 
 225.54866    2.48182  0.086  37.94  19.71  17.13 
 225.70105    2.45916  0.135  38.99  19.73  16.98 
 225.90764    2.47903  0.126  38.84  19.43  16.61 
 225.94444    2.44946  0.104  38.38  19.73  17.09 
 226.12384    2.33319  0.032  35.71  16.13  14.24 
 226.10110    2.34417  0.082  37.83  19.94  17.30 
 226.28032    2.34192  0.119  38.70  19.50  16.60 
 226.25728    2.40149  0.040  36.22  17.53  16.11 
 226.38754    2.37192  0.091  38.07  18.71  17.49 
 226.44328    2.29959  0.123  38.78  18.81  16.57 
 226.64520    2.39064  0.043  36.35  18.41  16.06 
 226.66672    2.29092  0.043  36.35  18.43  16.00 
 226.72807    2.34829  0.172  39.58  19.58  16.49 
 226.72412    2.31806  0.220  40.17  21.27  17.65 
 226.79240    2.30971  0.042  36.33  18.37  16.65 
 226.83508    2.39114  0.043  36.37  17.39  15.50 
 226.85745    2.42986  0.042  36.34  17.92  15.20 
 226.82999    2.43817  0.043  36.36  18.47  17.14 
 226.82979    2.28580  0.223  40.20  21.10  17.45 
 227.02855    2.43173  0.034  35.83  16.38  14.22 
 227.03078    2.42732  0.173  39.58  20.44  17.42 
 227.12517    2.37960  0.146  39.18  20.10  17.31 
 227.37178    2.44742  0.173  39.58  19.42  16.57 
 227.40581    2.42832  0.051  36.74  18.55  17.05 
 227.45813    2.41421  0.090  38.06  19.07  17.29 
 227.58553    2.30683  0.093  38.12  20.14  17.19 
 227.62485    2.32174  0.161  39.41  19.31  17.36 
 227.68800    2.39718  0.088  37.99  19.49  17.04 
 227.64310    2.27834  0.134  38.98  22.33  17.29 
 227.75533    2.38801  0.125  38.81  20.13  17.51 
 227.84221    2.30872  0.112  38.56  19.04  16.30 
 227.92627    2.38627  0.088  38.00  18.72  16.98 
 227.98244    2.45138  0.088  38.00  19.37  17.57 
 212.00560    3.19482  0.113  38.58  19.46  16.55 
 212.12016    3.14097  0.081  37.81  18.14  15.48 
 212.12749    3.14846  0.081  37.81  19.71  17.23 
 212.16212    3.07479  0.025  35.15  18.90  17.05 
 212.26154    3.19426  0.081  37.80  19.15  16.42 
 212.26102    3.19157  0.081  37.80  18.84  16.53 
 212.31424    3.16082  0.081  37.80  19.19  16.41 
 212.27559    3.15346  0.139  39.06  19.90  17.00 
 212.54578    3.18040  0.120  38.72  20.31  17.43 
 212.51761    3.17909  0.156  39.33  19.61  17.52 
 212.53551    3.16397  0.121  38.73  19.24  17.63 
 212.76091    3.13494  0.189  39.80  20.45  17.16 
 212.76416    3.05493  0.190  39.81  20.30  17.46 
 212.87335    3.24431  0.055  36.91  18.67  16.62 
 212.88965    3.18755  0.136  39.01  19.00  16.88 
 212.90442    3.20502  0.132  38.93  19.86  16.91 
 212.92261    3.10268  0.081  37.81  19.82  17.07 
 212.84355    3.19312  0.075  37.64  18.48  16.96 
 213.03882    3.18202  0.098  38.25  19.93  17.25 
 212.95775    3.05095  0.132  38.94  20.26  17.19 
 212.98022    3.16890  0.131  38.93  19.88  16.80 
 213.19278    3.12301  0.120  38.71  19.18  16.52 
 213.37654    3.22037  0.139  39.07  19.66  17.45 
 213.38200    3.19772  0.085  37.90  19.02  17.28 
 213.51144    3.19911  0.181  39.69  20.30  16.66 
 213.53709    3.22528  0.027  35.33  16.26  14.65 
 213.54727    3.15090  0.149  39.24  18.91  16.14 
 213.55841    3.24326  0.082  37.83  18.02  15.30 
 213.46147    3.17871  0.132  38.95  19.31  17.60 
 213.54419    3.23940  0.082  37.83  18.85  16.64 
 213.55998    3.13043  0.024  35.10  18.27  16.74 
 213.65506    3.17016  0.027  35.34  18.64  16.60 
 213.63356    3.19026  0.027  35.33  15.92  13.61 
 213.67752    3.10944  0.026  35.27  17.10  14.74 
 213.63470    3.06348  0.025  35.20  18.01  16.39 
 213.68050    3.18225  0.182  39.71  19.31  16.75 
 213.74223    3.11477  0.273  40.71  21.37  17.71 
 213.71394    3.13093  0.025  35.19  15.67  13.00 
 213.78340    3.11273  0.024  35.10  16.88  13.91 
 213.75383    3.19318  0.117  38.65  19.74  17.05 
 213.76454    3.09725  0.027  35.31  18.42  16.48 
 213.89139    3.06597  0.076  37.65  19.31  17.55 
 214.01796    3.04166  0.150  39.24  20.45  17.11 
 214.03136    3.12940  0.050  36.70  18.79  16.44 
 214.18661    3.12566  0.036  35.94  18.99  16.65 
 214.28946    3.18462  0.135  38.99  19.44  17.54 
 214.45955    3.05755  0.132  38.95  18.52  16.77 
 214.56911    3.04311  0.124  38.79  20.47  17.45 
 214.46988    3.02092  0.035  35.92  18.39  16.95 
 214.52318    3.11151  0.054  36.90  20.32  17.66 
 214.98929    3.06788  0.108  38.47  19.68  17.02 
 215.06874    3.13322  0.054  36.90  17.69  15.06 
 215.37062    3.12987  0.188  39.79  20.90  17.58 
 215.42667    2.99800  0.135  39.00  20.31  17.29 
 215.44028    3.01302  0.099  38.26  18.10  16.47 
 215.47635    3.08421  0.136  39.00  19.42  17.58 
 215.65320    3.16673  0.055  36.93  18.43  16.44 
 215.86272    3.03972  0.124  38.80  20.00  17.17 
 216.02182    3.19074  0.055  36.94  19.11  17.48 
 215.95587    3.02311  0.192  39.84  20.37  17.01 
 216.19818    3.04675  0.075  37.64  18.87  16.16 
 216.19713    3.04531  0.075  37.63  18.45  17.60 
 216.26248    3.16578  0.110  38.51  18.95  16.81 
 216.28021    3.13112  0.036  35.98  18.02  16.53 
 216.49127    3.01999  0.032  35.69  18.09  16.16 
 216.49342    3.02380  0.113  38.57  18.64  17.39 
 216.43021    2.98574  0.035  35.92  17.44  15.94 
 216.68752    3.04370  0.035  35.88  18.55  17.02 
 216.74178    2.99209  0.164  39.45  19.25  16.79 
 216.83473    3.11310  0.112  38.56  19.40  16.55 
 216.79651    3.00916  0.161  39.41  19.64  16.84 
 216.74323    3.10984  0.039  36.18  18.56  17.59 
 216.84236    3.07343  0.028  35.42  18.48  17.19 
 216.85194    3.07232  0.024  35.08  16.82  15.51 
 216.90807    2.98178  0.026  35.21  17.51  15.89 
 216.89055    2.99005  0.168  39.51  19.14  16.54 
 216.85951    2.97395  0.036  35.97  18.71  17.05 
 217.24493    3.12858  0.087  37.96  20.34  17.68 
 217.26289    2.98187  0.138  39.05  20.22  17.53 
 217.32382    2.97046  0.138  39.04  20.48  17.62 
 217.35500    2.98912  0.112  38.55  18.68  17.28 
 217.41850    3.06604  0.099  38.26  19.39  17.60 
 217.57939    3.01944  0.086  37.95  18.47  16.65 
 217.58315    3.09141  0.031  35.66  16.91  14.52 
 217.52467    3.13850  0.154  39.31  20.76  17.19 
 217.58887    2.98171  0.152  39.28  20.49  17.39 
 217.68523    3.01569  0.140  39.08  19.96  17.08 
 217.74261    2.96844  0.151  39.26  19.91  17.17 
 217.60802    3.13959  0.031  35.64  17.92  16.55 
 217.79956    3.00933  0.263  40.61  19.65  17.27 
 217.79980    3.08934  0.113  38.57  19.76  17.36 
 217.82936    3.07303  0.028  35.40  17.85  16.48 
 217.91779    3.03169  0.153  39.29  20.05  17.58 
 217.97092    2.96500  0.086  37.94  20.21  17.44 
 218.01353    3.08331  0.108  38.48  18.72  17.29 
 218.32735    3.06830  0.051  36.74  18.68  16.71 
 218.35704    3.09330  0.030  35.54  17.17  14.70 
 218.43539    3.02588  0.165  39.48  19.35  17.11 
 218.48331    3.10500  0.202  39.96  19.70  17.36 
 218.54619    2.95191  0.029  35.51  19.81  17.28 
 218.70961    2.95750  0.042  36.33  17.51  16.21 
 218.66788    3.08623  0.029  35.48  19.07  17.53 
 218.85692    3.08337  0.219  40.15  20.37  16.96 
 219.02347    2.91374  0.027  35.34  18.47  16.93 
 219.68925    3.07159  0.145  39.16  19.74  17.01 
 219.76576    2.99899  0.129  38.88  20.40  17.22 
 219.79858    2.94318  0.059  37.09  18.49  16.86 
 219.81975    3.06842  0.028  35.42  19.73  17.56 
 219.85689    3.05359  0.025  35.12  19.65  17.69 
 219.89427    3.05455  0.159  39.38  20.77  17.47 
 219.96335    2.94620  0.094  38.15  19.47  17.55 
 220.09691    3.03956  0.027  35.33  18.36  15.95 
 220.17450    3.06274  0.115  38.61  18.95  16.66 
 220.44717    2.98871  0.084  37.88  18.51  15.87 
 220.48628    3.00873  0.084  37.89  18.03  15.84 
 220.49448    2.99153  0.083  37.87  18.42  16.74 
 220.53426    3.04083  0.165  39.48  19.39  16.88 
 220.63516    2.95412  0.100  38.29  18.51  16.11 
 220.64540    2.97811  0.028  35.38  19.44  17.37 
 220.73286    2.95815  0.141  39.10  19.33  17.57 
 221.04320    2.86175  0.059  37.09  18.70  15.96 
 221.06219    3.02828  0.030  35.59  16.67  15.42 
 221.07365    2.91058  0.137  39.03  18.94  17.18 
 221.17616    3.01591  0.148  39.22  19.66  16.78 
 221.31291    3.01854  0.083  37.87  19.33  16.67 
 221.20898    2.89957  0.060  37.10  18.99  17.16 
 221.25879    2.92102  0.028  35.38  19.21  17.40 
 221.36644    2.99823  0.114  38.59  19.90  17.11 
 221.36678    2.99553  0.114  38.59  19.63  17.30 
 221.46648    2.87169  0.027  35.36  19.51  17.26 
 221.52940    2.96940  0.098  38.24  19.04  17.28 
 221.75545    2.96568  0.130  38.90  20.42  17.28 
 221.84523    2.99713  0.029  35.45  17.36  15.43 
 222.02661    2.96115  0.177  39.64  23.39  17.14 
 222.03999    2.90374  0.268  40.66  19.39  16.99 
 222.24380    2.88768  0.123  38.77  18.76  15.63 
 222.23491    2.89383  0.127  38.84  20.35  17.26 
 222.22423    2.83702  0.079  37.75  17.87  15.90 
 222.21230    2.85381  0.124  38.79  19.72  16.75 
 222.17613    2.98834  0.029  35.49  18.46  17.03 
 222.26781    2.96742  0.122  38.75  19.77  16.67 
 222.30287    2.93396  0.123  38.77  19.74  16.87 
 222.32782    2.95878  0.122  38.76  20.21  17.27 
 222.37698    2.91647  0.213  40.09  20.45  17.12 
 222.28691    2.88873  0.124  38.79  19.30  17.50 
 222.53111    2.94540  0.096  38.20  18.16  16.11 
 222.52409    2.84366  0.220  40.17  20.58  17.52 
 222.56923    2.88944  0.122  38.76  19.60  16.78 
 223.14165    2.90153  0.122  38.76  19.85  16.99 
 223.03343    2.92031  0.124  38.79  19.03  16.97 
 223.41663    2.92064  0.045  36.45  17.57  15.68 
 223.42018    2.92848  0.027  35.30  18.64  16.21 
 223.35982    2.87037  0.124  38.79  19.85  17.16 
 223.66847    2.84630  0.064  37.28  18.57  16.72 
 223.80191    2.81677  0.022  34.83  17.35  15.80 
 223.80580    2.83335  0.056  36.98  18.07  16.35 
 224.24208    2.86260  0.080  37.78  19.14  16.62 
 224.29590    2.78454  0.126  38.83  18.85  17.06 
 224.41139    2.85372  0.122  38.75  19.88  16.99 
 224.45325    2.84272  0.122  38.75  19.94  17.04 
 224.46509    2.78782  0.083  37.86  20.07  17.26 
 224.55598    2.77444  0.082  37.83  18.94  16.16 
 224.54271    2.78481  0.083  37.87  18.50  15.63 
 224.83308    2.86749  0.082  37.83  19.99  17.33 
 225.19122    2.79431  0.061  37.15  19.07  17.19 
 226.07782    2.76445  0.035  35.91  18.49  16.90 
 226.17680    2.77602  0.119  38.71  19.30  17.44 
 226.23720    2.81500  0.035  35.94  19.23  17.19 
 226.32330    2.78677  0.103  38.37  19.77  17.29 
 226.34967    2.73157  0.081  37.81  19.31  17.29 
 226.58044    2.76919  0.124  38.79  19.66  16.67 
 226.78342    2.79321  0.078  37.72  18.94  16.39 
 226.85767    2.75708  0.044  36.40  18.61  16.76 
 226.88232    2.74085  0.103  38.35  19.44  16.79 
 227.09901    2.77998  0.102  38.34  19.47  17.24 
 227.54741    2.68820  0.101  38.32  19.93  17.37 
 227.97281    2.71010  0.092  38.10  18.96  17.22 
 212.87776    3.32021  0.132  38.94  19.37  16.63 
 213.42448    3.32384  0.149  39.23  20.34  17.30 
 213.49278    3.29767  0.239  40.37  20.93  17.27 
 213.99019    3.30590  0.165  39.48  19.39  16.19 
 214.14925    3.29139  0.132  38.94  18.71  16.83 
 214.19177    3.28485  0.035  35.94  18.13  16.41 
 214.27391    3.28450  0.165  39.47  20.42  16.82 
 214.33978    3.28413  0.132  38.93  19.73  16.80 
 214.69292    3.27244  0.101  38.31  19.60  17.35 
 214.98897    3.27101  0.108  38.47  19.15  16.24 
 215.38426    3.23995  0.065  37.30  18.39  17.34 
 215.28079    3.24825  0.136  39.01  20.45  17.22 
 215.40100    3.25768  0.165  39.48  19.94  17.56 
 216.14784    3.22091  0.075  37.64  19.73  17.39 
 216.34998    3.21381  0.036  35.94  18.58  16.27 
 216.49745    3.20438  0.055  36.93  18.33  16.95 
 212.05008    3.69629  0.082  37.84  17.85  15.20 
 212.10156    3.69639  0.082  37.83  19.63  17.57 
 212.36157    3.79425  0.182  39.70  19.09  16.96 
 212.78876    3.60468  0.082  37.83  19.36  16.51 
 212.87656    3.66097  0.132  38.94  18.66  15.42 
 213.01587    3.73403  0.180  39.68  19.13  16.49 
 213.10242    3.70438  0.168  39.52  20.33  17.64 
 213.03223    3.74649  0.082  37.83  18.96  16.33 
 213.21649    3.61730  0.082  37.83  19.59  16.93 
 213.27872    3.71633  0.025  35.21  17.03  15.10 
 213.21965    3.59756  0.110  38.51  19.62  17.58 
 213.25928    3.60181  0.082  37.82  19.26  17.11 
 213.27919    3.61597  0.131  38.92  19.32  16.79 
 213.61041    3.56369  0.132  38.94  20.21  17.23 
 213.52760    3.58155  0.076  37.67  19.16  17.52 
 213.55064    3.69850  0.079  37.74  19.10  17.49 
 213.66495    3.60051  0.123  38.77  18.97  17.17 
 213.70659    3.75682  0.054  36.89  17.62  14.73 
 213.62935    3.55260  0.140  39.09  20.52  17.50 
 213.63158    3.56795  0.132  38.95  19.41  17.60 
 213.80521    3.60079  0.149  39.23  20.07  17.26 
 213.83810    3.71798  0.081  37.80  18.66  15.89 
 213.80385    3.55586  0.132  38.94  20.29  17.59 
 213.79039    3.67368  0.180  39.68  19.20  17.28 
 213.82719    3.59641  0.055  36.92  18.51  16.10 
 213.91141    3.74781  0.184  39.74  19.74  17.58 
 213.98567    3.60890  0.056  36.96  19.56  16.84 
 214.03207    3.69622  0.055  36.94  18.96  16.28 
 214.06656    3.62395  0.056  36.98  18.91  16.28 
 214.03540    3.68004  0.055  36.91  19.54  16.86 
 214.06528    3.71328  0.053  36.83  19.20  17.45 
 214.09837    3.68236  0.054  36.88  18.28  15.39 
 214.12161    3.68087  0.054  36.90  19.00  16.32 
 214.19559    3.58075  0.055  36.92  18.80  16.06 
 214.20160    3.63006  0.049  36.68  18.03  15.34 
 214.23260    3.58581  0.054  36.90  19.01  17.17 
 214.34247    3.54732  0.129  38.88  19.66  16.61 
 214.27855    3.63603  0.065  37.32  18.24  16.30 
 214.34886    3.70619  0.049  36.67  18.13  16.66 
 214.44478    3.71816  0.109  38.50  18.83  15.53 
 214.42749    3.71379  0.108  38.47  20.31  17.36 
 214.48126    3.66294  0.109  38.50  19.48  16.47 
 214.45041    3.66565  0.111  38.53  19.99  17.19 
 214.45833    3.69022  0.109  38.49  20.39  17.14 
 214.42567    3.64368  0.079  37.73  19.12  17.15 
 214.58887    3.55727  0.131  38.92  20.24  17.40 
 214.58153    3.56658  0.062  37.19  18.68  16.56 
 214.63852    3.53659  0.085  37.92  19.20  17.41 
 214.80566    3.57124  0.126  38.83  20.21  17.36 
 214.68373    3.56450  0.085  37.92  19.56  17.19 
 214.86273    3.60246  0.109  38.49  18.62  15.72 
 214.92584    3.49799  0.129  38.90  20.18  17.42 
 215.10692    3.63619  0.146  39.19  19.02  17.01 
 215.07936    3.50885  0.078  37.71  19.57  17.12 
 215.28044    3.65402  0.099  38.27  18.96  16.70 
 215.46513    3.52258  0.055  36.94  19.29  17.51 
 215.56035    3.56367  0.160  39.39  19.16  17.07 
 215.50240    3.67303  0.078  37.71  19.10  17.24 
